price,size,rooms,toilets,suites,parking_spots,elevator,furnished,swimming_pool,district,nearest_station_distance,distance_to_city_center
7.048386408721883,3.871201010907891,2,2,1,1,False,False,False,Artur Alvim,6.433472806222724,17720.38573352271
7.046647277848756,3.828641396489095,2,2,1,1,False,False,False,Artur Alvim,6.786154834756932,17578.214518270288
7.00397413672268,3.8918202981106265,2,2,1,1,False,False,False,Artur Alvim,5.416411375988481,17034.182850846482
7.0909098220799835,3.8918202981106265,2,2,1,1,False,False,False,Artur Alvim,6.3346438787643615,17323.1172240773
7.444833273892193,4.02535169073515,2,2,1,1,True,False,False,Artur Alvim,7.084440088890496,17482.441497849268
7.065613363597717,3.9318256327243257,2,2,1,1,False,False,False,Artur Alvim,6.721610697879927,17969.659731734115
7.074116816197362,3.970291913552122,1,2,1,1,True,False,False,Artur Alvim,6.604540358856563,17197.89110251279
6.957497370876951,3.713572066704308,2,2,1,1,False,False,False,Artur Alvim,6.788253697981121,16263.997260770637
6.90875477931522,4.189654742026425,2,2,1,1,False,False,False,Artur Alvim,6.721610697879927,17969.659731734115
6.90875477931522,4.61512051684126,2,2,1,1,False,False,False,Artur Alvim,6.721610697879927,17969.659731734115
6.825460036255307,3.6635616461296463,2,2,1,1,False,False,False,Artur Alvim,7.0420919354457805,16417.367335280895
6.85751406254539,3.8918202981106265,2,2,1,1,False,False,False,Artur Alvim,6.574859866639977,17713.97699692115
6.93828448401696,4.04305126783455,2,2,1,1,False,False,False,Artur Alvim,6.822275359675939,17280.171396946676
7.0909098220799835,4.04305126783455,2,2,1,1,False,False,False,Artur Alvim,4.940180255480914,17253.060162339647
7.704811922932594,4.007333185232471,2,2,1,1,True,False,True,Belém,5.841425055578192,5814.543531041024
7.6093665379542115,3.828641396489095,2,2,1,1,False,False,False,Belém,6.355078357449749,4091.900611941873
7.516433302915632,4.02535169073515,2,2,1,1,True,False,False,Belém,6.406396823212365,4921.7858806166
7.553286605600419,3.784189633918261,2,2,1,1,True,False,False,Belém,6.777391779948479,4982.084750495789
7.467942332285852,4.394449154672439,2,2,1,1,True,False,False,Belém,6.670347301587468,4774.570269822148
7.611347717403621,3.8501476017100584,2,2,1,1,False,False,False,Belém,6.355078357449749,4091.900611941873
7.901377353792616,4.219507705176107,3,2,1,1,True,True,False,Belém,5.84292860407774,5546.977545798989
8.0774471493312,4.23410650459726,3,2,1,1,False,False,True,Belém,6.034753948403304,5322.522054159283
7.670428522190693,4.1588830833596715,2,2,1,1,False,False,True,Belém,5.922595630679009,5810.933579515407
7.754052639035757,4.0943445622221,3,2,1,1,False,False,False,Belém,6.355078357449749,4091.900611941873
8.387995252944556,5.442417710521793,3,2,1,2,False,False,False,Belém,6.176365777319808,5941.405596838999
8.057694194815587,4.736198448394496,3,2,1,2,True,False,False,Belém,6.419300924540074,5042.468899567523
7.930565854233965,4.23410650459726,2,2,1,1,False,False,True,Belém,6.034753948403304,5322.522054159283
7.671360923190644,4.189654742026425,2,2,1,1,False,False,True,Belém,7.1091531220658295,4351.767724891151
7.6093665379542115,4.02535169073515,2,2,1,1,True,False,True,Belém,6.777391779948479,4982.084750495789
7.67368812926773,3.9318256327243257,1,2,1,1,True,False,True,Belém,5.557627816693307,5394.4484888845
7.550135342488429,3.8918202981106265,2,2,1,1,True,False,False,Belém,6.406396823212365,4921.7858806166
6.85751406254539,3.6109179126442243,1,2,1,1,False,False,False,Belém,6.400650183211518,3764.5189508451454
8.245909264774093,4.68213122712422,3,3,1,2,True,False,True,Belém,6.474167302826285,4963.734405479721
8.824824939175638,5.017279836814924,3,4,3,2,True,True,False,Belém,6.457659349547211,5327.732630512905
7.828436359157585,4.110873864173311,3,2,1,1,False,False,False,Belém,5.84292860407774,5546.977545798989
8.119100837637486,4.736198448394496,3,2,1,2,True,False,False,Belém,6.419300924540074,5042.468899567523
8.566173813637858,5.049856007249537,3,4,3,3,True,True,False,Belém,6.1398156948328175,5102.647496608521
7.550135342488429,4.204692619390966,2,2,1,1,True,False,False,Belém,6.66439041548056,6225.259136254325
7.428333194190806,4.060443010546419,2,2,1,1,False,False,False,Belém,7.283342944094181,4503.812530181291
7.762596048540069,4.060443010546419,2,2,1,2,False,False,True,Belém,5.841425055578192,5814.543531041024
7.752764808851328,4.02535169073515,2,2,1,1,True,True,False,Belém,6.569702658016855,5133.820092534836
7.313220387090301,4.454347296253507,2,2,1,1,False,False,False,Belém,6.257905740353779,5283.410421371766
8.073402968986406,4.74493212836325,4,3,2,2,False,False,True,Belém,5.719380379557358,5539.669296510019
7.4821189235521155,4.394449154672439,3,2,1,1,False,False,False,Belém,6.369457418384821,5159.520127300801
7.371489295214277,3.8066624897703196,2,2,1,1,True,False,False,Belém,7.286616070594253,7093.3015714953035
7.729735331385051,4.02535169073515,2,2,1,1,True,True,False,Belém,6.5020122965124285,5079.660989974148
7.523481312573497,3.9512437185814275,2,2,1,1,True,False,False,Belém,6.6389769424474,4846.5832462227445
8.119100837637486,4.7535901911063645,3,2,1,2,True,False,True,Belém,6.270119607986477,5139.435914999056
8.086717920303906,4.30406509320417,3,2,1,1,True,False,False,Belém,6.063103795937418,5613.8433515792
7.0909098220799835,3.8918202981106265,2,2,1,1,False,False,False,Cangaíba,7.692200192041612,13333.065800717657
7.280008252884188,4.189654742026425,2,2,1,1,True,False,False,Cangaíba,7.53897430903351,13352.761532258828
7.43307534889858,4.174387269895637,3,2,1,1,True,False,False,Cangaíba,7.450128052368231,12399.235132655258
