name;station;lat;lon;line;neigh
Oratorio;oratorio;-23.58213475;-46.5618087904539;['prata'];['vila-prudente', 'sao-lucas']
Oscar Freire;oscar-freire;-23.5607503;-46.6720286;['amarela'];['fradique-coutinho', 'paulista']
Palmeiras Barra Funda;palmeiras-barra-funda;-23.5254616;-46.6675134;['vermelha'];['marechal-deodoro']
Parada Inglesa;parada-inglesa;-23.4870316;-46.6088003521677;['azul'];['tucuruvi', 'jardim-sao-paulo-ayrton-senna']
Paraiso;paraiso;-23.5753983;-46.6408061;['azul', 'verde'];['vergueiro', 'ana-rosa', 'brigadeiro', 'ana-rosa']
Patriarca Vila Re;patriarca-vila-re;-23.5311445;-46.5036382;['vermelha'];['artur-alvim', 'guilhermina-esperanca']
Paulista;paulista;-23.5552461;-46.6622682;['amarela'];['oscar-freire', 'higienopolis-mackenzie']
Pedro II;pedro-ii;-23.5496994;-46.6259819;['vermelha'];['bras', 'se']
Penha;penha;-23.5334949;-46.5426688;['vermelha'];['vila-matilde', 'carrao']
Pinheiros;pinheiros;-23.567249;-46.7019515;['amarela'];['butanta', 'faria-lima']
Portuguesa Tiete;portuguesa-tiete;-23.51614455;-46.6251494423778;['azul'];['carandiru', 'armenia']
Praca Da Arvore;praca-da-arvore;-23.6105051;-46.6379193;['azul'];['santa-cruz', 'saude']
Republica;republica;-23.5440945;-46.642665;['amarela', 'vermelha'];['higienopolis-mackenzie', 'luz', 'anhangabau', 'santa-cecilia']
Sacoma;sacoma;-23.6012824;-46.6025552;['verde'];['alto-do-ipiranga', 'tamanduatei']
Santa Cecilia;santa-cecilia;-23.5381047;-46.6489997;['vermelha'];['republica', 'marechal-deodoro']
Santa Cruz;santa-cruz;-23.5989383;-46.6388672;['azul', 'lilas'];['vila-mariana', 'praca-da-arvore', 'hospital-sao-paulo', 'chacara-klabin']
Santana;santana;-23.50258755;-46.6252175408741;['azul'];['jardim-sao-paulo-ayrton-senna', 'carandiru']
Santo Amaro;santo-amaro;-23.6562303;-46.7191156;['lilas'];['giovanni-gronchi', 'largo-treze']
Santos Imigrantes;santos-imigrantes;-23.5958959;-46.6207594;['verde'];['chacara-klabin', 'alto-do-ipiranga']
Santuario Nossa Senhora De Fatima Sumare;santuario-nossa-senhora-de-fatima-sumare;-23.5507519;-46.6800962;['verde'];['vila-madalena', 'clinicas']
Sao Bento;sao-bento;-23.5443802;-46.6363175;['azul'];['luz', 'se']
Sao Joaquim;sao-joaquim;-23.5613673;-46.6386013;['azul'];['japao-liberdade', 'vergueiro']
Sao Judas;sao-judas;-23.6258085;-46.6409209;['azul'];['saude', 'conceicao']
Sao Lucas;sao-lucas;-23.58882605;-46.5447248260771;['prata'];['oratorio', 'camilo-haddad']
Sao Paulo Morumbi;sao-paulo-morumbi;-23.5861368;-46.7239121;['amarela'];['butanta']
Saude;saude;-23.6182458;-46.6391896;['azul'];['praca-da-arvore', 'sao-judas']
Se;se;-23.5500992;-46.635515;['azul', 'vermelha'];['sao-bento', 'japao-liberdade', 'pedro-ii', 'anhangabau']
Tamanduatei;tamanduatei;-23.5927867;-46.5895167;['verde'];['sacoma', 'vila-prudente']
Tatuape;tatuape;-23.5402524;-46.5766424;['vermelha'];['carrao', 'belem']
Tiradentes;tiradentes;-23.5311107;-46.6326154;['azul'];['armenia', 'luz']
Trianon Masp;trianon-masp;-23.5636427;-46.6538374;['verde'];['consolacao', 'brigadeiro']
Tucuruvi;tucuruvi;-23.48006945;-46.6032409661715;['azul'];['parada-inglesa']
Vergueiro;vergueiro;-23.5685349;-46.6399175;['azul'];['sao-joaquim', 'paraiso']
Vila Das Belezas;vila-das-belezas;-23.6402476;-46.7457694;['lilas'];['campo-limpo', 'giovanni-gronchi']
Vila Madalena;vila-madalena;-23.5464956;-46.6911243;['verde'];['santuario-nossa-senhora-de-fatima-sumare']
Vila Mariana;vila-mariana;-23.5891777;-46.6346681;['azul'];['ana-rosa', 'santa-cruz']
Vila Matilde;vila-matilde;-23.5319166;-46.5308731;['vermelha'];['guilhermina-esperanca', 'penha']
Vila Prudente;vila-prudente;-23.5845945;-46.5834369;['prata', 'verde'];['oratorio', 'tamanduatei']
Vila Tolstoi;vila-tolstoi;-23.60090245;-46.5271210452192;['prata'];['camilo-haddad', 'vila-uniao']
Vila Uniao;vila-uniao;-23.6029664;-46.5155666533518;['prata'];['vila-tolstoi']
